48
       -0.013945833716486   0.506972916858243   0.001916875642849
	0.506972916858243   0.506972916858243   0.001916875642849
	0.506972916858243  -0.013945833716486   0.001916875642849
	0.137187291433955   0.431406354283023   0.044249027271145
	0.431406354283023   0.431406354283023   0.044249027271145
	0.431406354283023   0.137187291433955   0.044249027271145
	0.444612710305711   0.277693644847144   0.051186548718852
	0.277693644847144   0.277693644847144   0.051186548718852
	0.277693644847144   0.444612710305711   0.051186548718852
	0.747070217917492   0.126464891041254   0.023687735870688
	0.126464891041254   0.126464891041254   0.023687735870688
	0.126464891041254   0.747070217917492   0.023687735870688
	0.858383228050628   0.070808385974686   0.013289775690021
	0.070808385974686   0.070808385974686   0.013289775690021
	0.070808385974686   0.858383228050628   0.013289775690021
	0.962069659517853   0.018965170241073   0.004748916608192
	0.018965170241073   0.018965170241073   0.004748916608192
	0.018965170241073   0.962069659517853   0.004748916608192
	0.133734161966621   0.261311371140087   0.038550072599593
	0.261311371140087   0.604954466893291   0.038550072599593
	0.604954466893291   0.133734161966621   0.038550072599593
	0.261311371140087   0.133734161966621   0.038550072599593
	0.604954466893291   0.261311371140087   0.038550072599593
	0.133734161966621   0.604954466893291   0.038550072599593
	0.036366677396917   0.388046767090269   0.027215814320624
	0.388046767090269   0.575586555512814   0.027215814320624
	0.575586555512814   0.036366677396917   0.027215814320624
	0.388046767090269   0.036366677396917   0.027215814320624
	0.575586555512814   0.388046767090269   0.027215814320624
	0.036366677396917   0.575586555512814   0.027215814320624
       -0.010174883126571   0.285712220049916   0.002182077366797
	0.285712220049916   0.724462663076655   0.002182077366797
	0.724462663076655  -0.010174883126571   0.002182077366797
	0.285712220049916  -0.010174883126571   0.002182077366797
	0.724462663076655   0.285712220049916   0.002182077366797
       -0.010174883126571   0.724462663076655   0.002182077366797
	0.036843869875878   0.215599664072284   0.021505319847731
	0.215599664072284   0.747556466051838   0.021505319847731
	0.747556466051838   0.036843869875878   0.021505319847731
	0.215599664072284   0.036843869875878   0.021505319847731
	0.747556466051838   0.215599664072284   0.021505319847731
	0.036843869875878   0.747556466051838   0.021505319847731
	0.012459809331199   0.103575616576386   0.007673942631049
	0.103575616576386   0.883964574092416   0.007673942631049
	0.883964574092416   0.012459809331199   0.007673942631049
	0.103575616576386   0.012459809331199   0.007673942631049
	0.883964574092416   0.103575616576386   0.007673942631049
	0.012459809331199   0.883964574092416   0.007673942631049
