52
	0.333333333333333   0.333333333333333   0.046875697427642
	0.005238916103123   0.497380541948438   0.006405878578585
	0.497380541948438   0.497380541948438   0.006405878578585
	0.497380541948438   0.005238916103123   0.006405878578585
	0.173061122901295   0.413469438549352   0.041710296739387
	0.413469438549352   0.413469438549352   0.041710296739387
	0.413469438549352   0.173061122901295   0.041710296739387
	0.059082801866017   0.470458599066991   0.026891484250064
	0.470458599066991   0.470458599066991   0.026891484250064
	0.470458599066991   0.059082801866017   0.026891484250064
	0.518892500060958   0.240553749969521   0.042132522761650
	0.240553749969521   0.240553749969521   0.042132522761650
	0.240553749969521   0.518892500060958   0.042132522761650
	0.704068411554854   0.147965794222573   0.030000266842773
	0.147965794222573   0.147965794222573   0.030000266842773
	0.147965794222573   0.704068411554854   0.030000266842773
	0.849069624685052   0.075465187657474   0.014200098925024
	0.075465187657474   0.075465187657474   0.014200098925024
	0.075465187657474   0.849069624685052   0.014200098925024
	0.966807194753950   0.016596402623025   0.003582462351273
	0.016596402623025   0.016596402623025   0.003582462351273
	0.016596402623025   0.966807194753950   0.003582462351273
	0.103575692245252   0.296555596579887   0.032773147460627
	0.296555596579887   0.599868711174861   0.032773147460627
	0.599868711174861   0.103575692245252   0.032773147460627
	0.296555596579887   0.103575692245252   0.032773147460627
	0.599868711174861   0.296555596579887   0.032773147460627
	0.103575692245252   0.599868711174861   0.032773147460627
	0.020083411655416   0.337723063403079   0.015298306248441
	0.337723063403079   0.642193524941505   0.015298306248441
	0.642193524941505   0.020083411655416   0.015298306248441
	0.337723063403079   0.020083411655416   0.015298306248441
	0.642193524941505   0.337723063403079   0.015298306248441
	0.020083411655416   0.642193524941505   0.015298306248441
       -0.004341002614139   0.204748281642812   0.002386244192839
	0.204748281642812   0.799592720971327   0.002386244192839
	0.799592720971327  -0.004341002614139   0.002386244192839
	0.204748281642812  -0.004341002614139   0.002386244192839
	0.799592720971327   0.204748281642812   0.002386244192839
       -0.004341002614139   0.799592720971327   0.002386244192839
	0.041941786468010   0.189358492130623   0.019084792755899
	0.189358492130623   0.768699721401368   0.019084792755899
	0.768699721401368   0.041941786468010   0.019084792755899
	0.189358492130623   0.041941786468010   0.019084792755899
	0.768699721401368   0.189358492130623   0.019084792755899
	0.041941786468010   0.768699721401368   0.019084792755899
	0.014317320230681   0.085283615682657   0.006850054546542
	0.085283615682657   0.900399064086661   0.006850054546542
	0.900399064086661   0.014317320230681   0.006850054546542
	0.085283615682657   0.014317320230681   0.006850054546542
	0.900399064086661   0.085283615682657   0.006850054546542
	0.014317320230681   0.900399064086661   0.006850054546542
